contract_id,condition,question_id,question_target,ground_truth,expect_clash,clash_type,validation_passed,total_attempts,hard_reject,hard_reject_reason,accepted_at_attempt,error,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,latency_rag,latency_extraction,latency_validation,latency_total
002,ovrag,Q1,Loan type classification,CLEAN,False,,False,4,True,"Answer failed ontology validation after 3 correction attempt(s). Last failure: LOGICAL INCONSISTENCY DETECTED
============================================================

The following assertions violate FIBO ontology constraints:

1. FirstLoan (Loan) rdf:type ClosedEndMortgageLoan (Class)
2. FirstLoan (Loan) rdf:type SecuredLoan (Class)
3. FirstLoan (Loan) hasCollateral 456 Park Avenue, New York, NY 10022 (GeographicRegion)
4. Anna Miller (Entity) rdf:type NaturalPerson (Class)
5. FirstLoan (Loan) hasBorrower Anna Miller (Entity)
6. SecondLoan (Loan) rdf:type CommercialLoan (Class)
7. SecondLoan (Loan) rdf:type UnsecuredLoan (Class)
8. TechStart Inc. (Entity) rdf:type Corporation (Class)
9. SecondLoan (Loan) hasBorrower TechStart Inc. (Entity)
10. SecondLoan (CommercialLoan) hasBusinessPurposeDescription equipment modernization program (String)
11. TheLoan (Loan) rdf:type SecuredLoan (Class)
12. TheLoan (Loan) rdf:type ConsumerLoan (Class)
13. TheLoan (Loan) rdf:type ClosedEndCredit (Class)
14. TheLoan (Loan) hasLender Commerce Bank of America (Lender)
15. TheLoan (Loan) hasBorrower Anna Miller (Borrower)
16. TheLoan (Loan) hasLoanAmount USD 254,000.00 (Amount)
17. TheLoan (Loan) hasInterestRate 4.2% (Rate)
18. TheLoan (Loan) hasMaturityDate September 17, 2054 (Date)
19. TheLoan (Loan) hasCollateral First lien on property at 456 Park Avenue, New York, NY 10022 (Collateral)
20. TheLoan (Loan) rdf:type UnsecuredLoan (Class)
21. TheLoan (Loan) rdf:type CommercialLoan (Class)
22. TheLoan (Loan) hasLender First National Bank (Lender)
23. TheLoan (Loan) hasBorrower TechStart Inc. (Borrower)
24. TheLoan (Loan) hasLoanAmount USD 962,000.00 (Amount)
25. TheLoan (Loan) hasInterestRate 2.6% (Rate)
26. TheLoan (Loan) hasMaturityDate December 22, 2030 (Date)

Possible violations:
• Disjointness: Entity cannot belong to disjoint classes
• Cardinality: Property exceeds allowed number of values
• Irreflexivity: Entity cannot have relation to itself
• Domain/Range: Property applied to incompatible entity types

Reasoner output: Java error message is: Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/RealEstateLoans/Mortgages @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/RealEstateLoans/Mortgages
Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CommercialLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CommercialLoans
Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/ConsumerLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/ConsumerLoans
Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CardAccounts @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CardAccounts
Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/StudentLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/StudentLoans
Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/Loans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansGeneral/Loans
Feb 17, 2026 12:33:22 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/GreenLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/GreenLoans
ERROR: Ontology is inconsistent, run ""pellet explain"" to get the reason
",,,0.084,0.8056,0.9013,0.8508,6.365477800369263,14.00585651397705,4.921741247177124,25.293694972991943
002,ovrag,Q2,Party classification,CLEAN,False,,True,1,False,,0,,0.3784,0.8906,0.8772,0.8838,1.2044799327850342,4.372246026992798,1.1640393733978271,6.74087929725647
002,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,1,False,,0,,0.8095,0.9727,0.9779,0.9753,1.663712978363037,5.311094284057617,0.9560542106628418,7.930995225906372
002,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.4231,0.889,0.9415,0.9145,1.7308800220489502,4.093732833862305,0.8488500118255615,6.673597097396851
002,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.4048,0.8285,0.9044,0.8648,1.66904616355896,4.805372953414917,0.8209552764892578,7.295486927032471
002,plain,Q1,Loan type classification,CLEAN,False,,,1,False,,,,0.2326,0.8304,0.92,0.8729,1.4843621253967285,0.0,0.0,1.4843759536743164
002,plain,Q2,Party classification,CLEAN,False,,,1,False,,,,0.3784,0.8906,0.8772,0.8838,1.6544489860534668,0.0,0.0,1.6544549465179443
002,plain,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,,1,False,,,,0.8095,0.9727,0.9779,0.9753,1.1932778358459473,0.0,0.0,1.1932830810546875
002,plain,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,,1,False,,,,0.4074,0.8995,0.9414,0.92,1.2357890605926514,0.0,0.0,1.2357969284057617
002,plain,Q5,Comprehensive extraction,CLEAN,False,,,1,False,,,,0.4545,0.8599,0.914,0.8861,2.046764850616455,0.0,0.0,2.0467751026153564
003,ovrag,Q1,Loan type classification,CLEAN,False,,True,1,False,,0,,0.1667,0.8213,0.9013,0.8594,3.1542301177978516,5.173329830169678,0.8672962188720703,9.19502592086792
003,ovrag,Q2,Party classification,CLEAN,False,,True,1,False,,0,,0.3529,0.8951,0.8773,0.8861,1.0210051536560059,3.814370632171631,0.8807852268218994,5.716325998306274
003,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,1,False,,0,,0.1935,0.8291,0.9187,0.8716,1.16286301612854,3.992480993270874,0.8249051570892334,5.980385065078735
003,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.4151,0.888,0.9451,0.9156,1.241128921508789,4.3941686153411865,0.8282217979431152,6.463673114776611
003,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.4198,0.8653,0.9092,0.8867,2.2313108444213867,5.42454195022583,0.826430082321167,8.482435941696167
003,plain,Q1,Loan type classification,CLEAN,False,,,1,False,,,,0.2759,0.8582,0.9081,0.8824,1.3985340595245361,0.0,0.0,1.39854097366333
003,plain,Q2,Party classification,CLEAN,False,,,1,False,,,,0.2857,0.894,0.8779,0.8859,1.3705987930297852,0.0,0.0,1.3706049919128418
003,plain,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,,1,False,,,,0.2,0.8291,0.9153,0.8701,1.076106071472168,0.0,0.0,1.0761151313781738
003,plain,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,,1,False,,,,0.4074,0.9006,0.9459,0.9227,1.3873748779296875,0.0,0.0,1.3873889446258545
003,plain,Q5,Comprehensive extraction,CLEAN,False,,,1,False,,,,0.427,0.8617,0.9123,0.8863,1.533492088317871,0.0,0.0,1.533499002456665
004,ovrag,Q1,Loan type classification,CLEAN,False,,True,1,False,,0,,0.2162,0.8177,0.8677,0.8419,1.6114311218261719,7.890614748001099,0.9185950756072998,10.42075490951538
004,ovrag,Q2,Party classification,CLEAN,False,,True,1,False,,0,,0.3429,0.8916,0.8745,0.883,1.3597102165222168,3.5774853229522705,0.8256299495697021,5.762934923171997
004,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,1,False,,0,,0.1935,0.8263,0.9155,0.8686,1.225696086883545,4.157158136367798,0.8247191905975342,6.207690000534058
004,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.4151,0.8996,0.9429,0.9207,1.509692907333374,3.4054758548736572,0.832711935043335,5.7480151653289795
004,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.3855,0.8518,0.8911,0.871,2.1064491271972656,4.1957409381866455,0.893347978591919,7.195739984512329
004,plain,Q1,Loan type classification,CLEAN,False,,,1,False,,,,0.2222,0.8188,0.8623,0.84,1.143266201019287,0.0,0.0,1.1432740688323975
004,plain,Q2,Party classification,CLEAN,False,,,1,False,,,,0.375,0.8963,0.8728,0.8844,1.0120048522949219,0.0,0.0,1.0120131969451904
004,plain,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,,1,False,,,,0.1935,0.8291,0.9187,0.8716,1.3196280002593994,0.0,0.0,1.3196361064910889
004,plain,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,,1,False,,,,0.4231,0.8916,0.9436,0.9168,1.6856610774993896,0.0,0.0,1.6856701374053955
004,plain,Q5,Comprehensive extraction,CLEAN,False,,,1,False,,,,0.3951,0.8507,0.8893,0.8696,2.111257791519165,0.0,0.0,2.111269235610962
005,ovrag,Q1,Loan type classification,CLEAN,False,,False,4,True,"Answer failed ontology validation after 3 correction attempt(s). Last failure: LOGICAL INCONSISTENCY DETECTED
============================================================

The following assertions violate FIBO ontology constraints:

1. CommercialLoan1 (Loan) rdf:type CommercialLoan (Class)
2. CommercialLoan1 (CommercialLoan) hasBusinessPurposeDescription purchasing fleet vehicles (string)
3. CommercialLoan1 (CommercialLoan) hasCollateral manufacturing plant at 741 Spruce Avenue, San Francisco, CA (string)
4. CommercialLoan1 (CommercialLoan) hasAssessmentBoundary EU Taxonomy criteria for sustainable investments (AssessmentBoundary)
5. SecuredConsumerLoan1 (Loan) rdf:type ConsumerLoan (Class)
6. SecuredConsumerLoan1 (Loan) rdf:type SecuredLoan (Class)
7. SecuredConsumerLoan1 (ConsumerLoan) hasBusinessPurposeDescription cover moving and relocation costs (string)
8. SecuredConsumerLoan1 (ConsumerLoan) hasCollateral first lien on property at 456 Park Avenue, New York, NY (string)
9. TheLoan (Loan) rdf:type CommercialLoan (Class)
10. TheLoan (Loan) rdf:type SecuredLoan (Class)
11. TheLoan (Loan) rdf:type GreenLoan (Class)
12. TheLoan (Loan) hasLender U.S. Department of Education (Lender)
13. TheLoan (Loan) hasBorrower ACME Industries LLC (Borrower)
14. TheLoan (Loan) hasLoanAmount USD 4,647,000.00 (Literal)
15. TheLoan (Loan) hasInterestRate 3.6% (Literal)
16. TheLoan (Loan) hasMaturityDate November 15, 2037 (Literal)
17. TheLoan (Loan) hasCollateral Manufacturing plant at 741 Spruce Avenue, San Francisco, CA 94101 (Literal)
18. TheLoan (Loan) rdf:type ConsumerLoan (Class)
19. TheLoan (Loan) rdf:type Mortgage (Class)
20. TheLoan (Loan) hasLender Commerce Bank of America (Lender)
21. TheLoan (Loan) hasBorrower Anna Miller (Borrower)
22. TheLoan (Loan) hasLoanAmount USD 254,000.00 (Literal)
23. TheLoan (Loan) hasInterestRate 4.2% (Literal)
24. TheLoan (Loan) hasMaturityDate September 17, 2054 (Literal)
25. TheLoan (Loan) hasCollateral First lien on property at 456 Park Avenue, New York, NY 10022 (Literal)

Possible violations:
• Disjointness: Entity cannot belong to disjoint classes
• Cardinality: Property exceeds allowed number of values
• Irreflexivity: Entity cannot have relation to itself
• Domain/Range: Property applied to incompatible entity types

Reasoner output: Java error message is: Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/RealEstateLoans/Mortgages @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/RealEstateLoans/Mortgages
Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CommercialLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CommercialLoans
Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/ConsumerLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/ConsumerLoans
Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CardAccounts @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CardAccounts
Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/StudentLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/StudentLoans
Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/Loans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansGeneral/Loans
Feb 17, 2026 12:39:34 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/GreenLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/GreenLoans
ERROR: Ontology is inconsistent, run ""pellet explain"" to get the reason
",,,0.0526,0.7974,0.8715,0.8328,16.38664484024048,18.469418048858643,2.798307418823242,37.655137062072754
005,ovrag,Q2,Party classification,CLEAN,False,,False,4,True,"Answer failed ontology validation after 3 correction attempt(s). Last failure: LOGICAL INCONSISTENCY DETECTED
============================================================

The following assertions violate FIBO ontology constraints:

1. LA-2025-005 (Loan) rdf:type Loan (Class)
2. ACME Industries LLC (Entity) rdf:type Corporation (Class)
3. U.S. Department of Education (Entity) rdf:type GovernmentalEntity (Class)
4. LA-2025-001 (Loan) rdf:type Loan (Class)
5. TechStart Inc. (Entity) rdf:type Corporation (Class)
6. First National Bank (Entity) rdf:type FinancialInstitution (Class)
7. TheLoan (Loan) rdf:type CommercialLoan (Class)
8. TheLoan (Loan) rdf:type SecuredLoan (Class)
9. TheLoan (Loan) rdf:type GreenLoan (Class)
10. TheLoan (Loan) hasLender U.S. Department of Education (Lender)
11. TheLoan (Loan) hasBorrower ACME Industries LLC (Borrower)
12. TheLoan (Loan) hasLoanAmount USD 4,647,000.00 (Literal)
13. TheLoan (Loan) hasInterestRate 3.6% (Literal)
14. TheLoan (Loan) hasMaturityDate November 15, 2037 (Literal)
15. TheLoan (Loan) hasCollateral Manufacturing plant at 741 Spruce Avenue, San Francisco, CA 94101 (Literal)
16. TheLoan (Loan) rdf:type UnsecuredLoan (Class)
17. TheLoan (Loan) hasLender First National Bank (Lender)
18. TheLoan (Loan) hasBorrower TechStart Inc. (Borrower)
19. TheLoan (Loan) hasLoanAmount USD 962,000.00 (Literal)
20. TheLoan (Loan) hasInterestRate 2.6% (Literal)
21. TheLoan (Loan) hasMaturityDate December 22, 2030 (Literal)

Possible violations:
• Disjointness: Entity cannot belong to disjoint classes
• Cardinality: Property exceeds allowed number of values
• Irreflexivity: Entity cannot have relation to itself
• Domain/Range: Property applied to incompatible entity types

Reasoner output: Java error message is: Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/RealEstateLoans/Mortgages @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/RealEstateLoans/Mortgages
Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CommercialLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CommercialLoans
Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/ConsumerLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/ConsumerLoans
Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CardAccounts @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CardAccounts
Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/StudentLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/StudentLoans
Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/Loans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansGeneral/Loans
Feb 17, 2026 12:40:11 AM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/GreenLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/GreenLoans
ERROR: Ontology is inconsistent, run ""pellet explain"" to get the reason
",,,0.2069,0.8346,0.9219,0.8761,12.520906925201416,14.651585102081299,2.4809110164642334,29.654078245162964
005,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,1,False,,0,,0.8649,0.9743,0.9789,0.9766,1.2333099842071533,3.888791084289551,0.8282959461212158,5.95051908493042
005,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.4074,0.8893,0.9378,0.9129,1.5137312412261963,4.198161840438843,0.8999350070953369,6.611961126327515
005,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.3562,0.8501,0.8878,0.8685,1.2789456844329834,4.379653692245483,0.8503780364990234,6.509080171585083
005,plain,Q1,Loan type classification,CLEAN,False,,,1,False,,,,0.16,0.842,0.8701,0.8558,2.1939220428466797,0.0,0.0,2.193930149078369
005,plain,Q2,Party classification,CLEAN,False,,,1,False,,,,0.5833,0.939,0.9288,0.9339,1.336488962173462,0.0,0.0,1.3364958763122559
005,plain,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,,1,False,,,,0.8108,0.9722,0.9775,0.9748,0.9920670986175537,0.0,0.0,0.9920749664306641
005,plain,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,,1,False,,,,0.4231,0.8898,0.9415,0.9149,1.3581459522247314,0.0,0.0,1.358154058456421
005,plain,Q5,Comprehensive extraction,CLEAN,False,,,1,False,,,,0.4091,0.8639,0.901,0.8821,2.0813729763031006,0.0,0.0,2.0813820362091064
006,ovrag,Q1,Loan type classification,CLEAN,False,,True,1,False,,0,,0.15,0.8477,0.8423,0.845,1.2743561267852783,5.364339590072632,0.9073600769042969,7.546144008636475
